index,county1,county2,higher_gamma_mean_county,approx_diff_prob,delta,reduction_factor,RDET_percent
7458,28139,28003,28003,0.9172,0.05,0.975,2.500000000000002
7491,28155,28019,28155,0.9918,0.05,0.8150000000000001,18.499999999999993
7494,29035,29179,29035,0.9713,0.05,0.915,8.499999999999996
7599,48291,48201,48291,0.9051,0.05,0.995,0.5000000000000004
7694,51163,51530,51163,0.9724,0.05,0.7799999999999999,22.000000000000007
7754,29223,29179,29223,0.9614,0.05,0.925,7.499999999999996
7897,48417,48253,48417,0.9153,0.05,0.995,0.5000000000000004
7910,46013,46089,46013,0.9024,0.05,0.995,0.5000000000000004
7916,18037,18117,18117,0.8983,0.05,0.995,0.5000000000000004
7940,18079,18143,18143,0.9283,0.05,0.975,2.500000000000002
7984,47023,47109,47109,0.913,0.05,0.995,0.5000000000000004
8001,39083,39075,39083,0.9527,0.05,0.9,9.999999999999998
8038,39111,39121,39111,0.9776,0.05,0.85,15.000000000000002
8056,39121,39059,39059,0.9983,0.05,0.73,27.0
8057,39121,39119,39119,0.9994,0.05,0.665,33.5
8058,39121,39013,39013,0.9689,0.05,0.86,14.000000000000002
8119,19165,19085,19085,0.9548,0.05,0.915,8.499999999999996
8120,19165,19155,19155,0.9405,0.05,0.9400000000000001,5.999999999999995
8331,13101,13065,13065,0.9088,0.05,0.985,1.5000000000000013
8358,5031,5111,5111,0.9759,0.05,0.915,8.499999999999996
8373,13197,13053,13053,0.9961,0.05,0.7949999999999999,20.500000000000007
8385,13259,13053,13053,0.9801,0.05,0.875,12.5
8392,21073,21211,21073,0.9314,0.05,0.965,3.500000000000003
8465,30091,38023,30091,0.9834,0.05,0.8400000000000001,15.999999999999993
8490,31021,31039,31021,0.9579,0.05,0.905,9.499999999999996
8521,21105,29133,29133,0.95,0.05,0.95,5.000000000000004
8582,47113,47017,47017,0.9107,0.05,0.99,1.0000000000000009
8599,29063,29049,29049,0.9623,0.05,0.91,8.999999999999996
8624,54091,54077,54091,0.8991,0.05,0.995,0.5000000000000004
8627,18143,18077,18143,0.9733,0.05,0.93,6.999999999999995
